num_threads,spacing(mm),length(mm),force_mag(N),nonlinearity,memory
2.0,38.46153846153847,115.3846153846154,1.5,0.4581584746161136,0.1694527615307816
2.0,45.45454545454545,136.36363636363637,1.0,0.4281917089834775,0.1749585984764291
2.0,55.55555555555555,166.66666666666666,0.5,0.4331387408903253,0.1098341946010085
2.0,71.42857142857143,214.28571428571428,0.2,0.6044188518577934,0.191728643940103
2.0,100.0,300.00000000000006,0.06,0.731716341439985,0.4060397866950362
2.0,166.66666666666666,500.0,0.02,0.5848539578792689,0.2366186360387039
4.0,38.46153846153847,192.30769230769232,1.5,0.6624753233271435,0.1546708046675948
4.0,45.45454545454545,227.27272727272728,1.0,0.5521175443972806,0.1271665271841532
4.0,55.55555555555555,277.77777777777777,0.5,0.7166565795405637,0.3561508962378952
4.0,71.42857142857143,357.1428571428571,0.2,0.7599940152999286,0.420596147308539
4.0,100.0,500.0,0.06,0.8351157101933759,0.4853235297617755
4.0,166.66666666666666,833.3333333333333,0.02,0.5348807092507906,0.1710215992695503
6.0,38.46153846153847,269.2307692307693,1.5,0.816981653627745,0.3200773354642119
6.0,45.45454545454545,318.1818181818182,1.0,0.7235003685149092,0.4008929170751584
6.0,55.55555555555555,388.88888888888886,0.5,0.7091431740805112,0.5317400459650055
6.0,71.42857142857143,500.0,0.2,0.932600805999714,0.5031609942954106
6.0,100.0,700.0000000000001,0.06,0.8425548848331849,0.4945677982073367
6.0,166.66666666666666,1166.6666666666663,0.02,0.5868160804010552,0.265335233659038
8.0,38.46153846153847,346.15384615384613,1.5,0.8135792335319276,0.5010164140621433
8.0,45.45454545454545,409.0909090909091,1.0,0.8146027305975357,0.48037944724592924
8.0,55.55555555555555,500.0,0.5,0.747474350344888,0.49489233539721567
8.0,71.42857142857143,642.8571428571428,0.2,0.904697757307719,0.5268122162919822
8.0,100.0,900.0,0.06,0.8570457615721375,0.47244199259220115
8.0,166.66666666666666,1500.0,0.02,0.6842903448848842,0.3447916040597362
10.0,38.46153846153847,423.0769230769232,1.5,0.8547696181159298,0.5539344512781652
10.0,45.45454545454545,500.0,1.0,0.7309246294412992,0.4831821667838449
10.0,55.55555555555555,611.1111111111111,0.5,0.7132226520204664,0.6322377626757465
10.0,71.42857142857143,785.7142857142857,0.2,0.8734610382423291,0.6038069495731861
10.0,100.0,1100.0,0.06,0.8595923972879829,0.5161149002228499
10.0,166.66666666666666,1833.3333333333333,0.02,0.6288980072284597,0.3591971491887268
12.0,38.46153846153847,500.0,1.5,0.7862700754602036,0.2758500111241466
12.0,45.45454545454545,590.909090909091,1.0,0.7982401218584523,0.5389433164005074
12.0,55.55555555555555,722.2222222222222,0.5,0.8437265186975745,0.5828009232761407
12.0,71.42857142857143,928.5714285714284,0.2,0.9163967943299072,0.6262667834366445
12.0,100.0,1300.0,0.06,0.8470969200202259,0.530760910171763
12.0,166.66666666666666,2166.6666666666665,0.02,0.6361451919168215,0.38562648058955423
