num_threads,spacing(mm),length(mm),force_mag(N),nonlinearity train,memory train,nonlinearity test,memory test
2,20.0,60.0,2.5,,,,
2,30.0,90.0,1.25,0.7270312539105162,0.20378042253937675,0.662904169020801,0.17239628845395685
2,40.0,120.0,0.78125,,,,
2,50.0,150.00000000000003,0.4,,,,
2,60.0,180.0,0.2314814814814814,,,,
2,70.0,210.00000000000003,0.1457725947521866,0.6585650891480863,0.14680062493415108,0.5990060058745253,0.11619201058039381
2,80.0,240.0,0.1457725947521866,0.7158120649921663,0.15492681717585513,0.6648924478864308,0.11657943581100988
2,90.0,270.0,0.0685871056241426,0.6242894863270713,0.15946999345899604,0.5421794597424144,0.11907291946930833
2,100.0,300.00000000000006,0.0685871056241426,0.6374588577230791,0.16331657519072382,0.5762960782853315,0.11888589289873955
2,110.0,330.0,0.05,0.618829931234872,0.16757557849407825,0.556417653813264,0.1192886273438829
2,120.0,360.0,0.78125,0.41585564502142214,0.25965148741811706,0.33623142950900303,0.21179660959614996
2,130.0,390.0,0.78125,0.4043731837418944,0.2634899213980784,0.3396145171324691,0.21788647654894142
2,140.0,420.00000000000006,0.4,0.3923528574838703,0.28482380249072453,0.3309658199700882,0.24470939084630966
2,150.0,449.99999999999994,1.25,0.3794473645378234,0.26665865611178147,0.32534002023400654,0.21408863164528616
4,20.0,100.0,2.5,0.7400410440804139,0.19040739498364254,0.6914899014345598,0.15807008635482508
4,30.0,150.0,1.25,0.8091280997411842,0.2464816631025471,0.7213671020969771,0.20822604571837544
4,40.0,200.0,0.78125,0.8576737809062939,0.21032822928358777,0.786882132154836,0.17901064336652575
4,50.0,250.0,0.4,0.8162224735868382,0.2789195352698452,0.7673077763674445,0.2356265166029236
4,60.0,300.0,0.2314814814814814,0.7560770977744774,0.33501532403588746,0.7144698508781391,0.289683245398665
4,70.0,350.00000000000006,0.1457725947521866,0.7239059235450318,0.37729444735433204,0.6962611147748283,0.330099170534245
4,80.0,400.0,0.1457725947521866,0.7899997174452122,0.40669439891639153,0.7241184726893152,0.35865599520321734
4,90.0,449.99999999999994,0.0685871056241426,0.7370732139433313,0.41192649507140117,0.6991377319399863,0.32679517500214217
4,100.0,500.0,0.0685871056241426,0.7597323500508548,0.3982478674692162,0.7251417657327799,0.2842386122538987
4,110.0,550.0,0.05,0.7468355290246047,0.3156571364654427,0.6971636726925933,0.2385520259729506
4,120.0,600.0,0.78125,0.4336355432484327,0.382783550771781,0.32902448135775153,0.2551447895379217
4,130.0,650.0,0.78125,0.42098864236085587,0.3900672663042442,0.3116051233382523,0.2799175218685034
4,140.0,700.0000000000001,0.4,0.42626711406689405,0.3850898626427199,0.311510249331936,0.27953755902014865
4,150.0,750.0,1.25,0.42151783237649393,0.4169256218548417,0.3166083078624895,0.31180573797005384
6,20.0,140.0,2.5,0.7817709990868161,0.21861791982974674,0.7213267384397906,0.1752604917878244
6,30.0,210.0,1.25,0.8440089024904545,0.3071124958805351,0.7703778329067804,0.2640433361056088
6,40.0,280.0,0.78125,0.8995784540854622,0.3376958431861985,0.8256470311650643,0.2916363008164796
6,50.0,350.00000000000006,0.4,0.8697245775079898,0.4268327416180008,0.7908829939222791,0.378849725621649
6,60.0,420.0,0.2314814814814814,0.8571708845665997,0.47770874798871477,0.7889856338716679,0.42766331155932724
6,70.0,490.00000000000006,0.1457725947521866,0.8305415533583069,0.48919015518875886,0.7713688232192195,0.4108490746777976
6,80.0,560.0,0.1457725947521866,0.8513728609871949,0.2808050978591137,0.7698808920926485,0.1828673376521704
6,90.0,630.0,0.0685871056241426,0.7954610939795442,0.4807115800450107,0.7226362074307485,0.3661843299049626
6,100.0,700.0000000000001,0.0685871056241426,0.8179316884146977,0.4843167919772703,0.7412371985973056,0.3389331473485671
6,110.0,770.0,0.05,0.8109857526397262,0.40569120876014025,0.7329430658345885,0.27245862445230334
6,120.0,840.0,0.78125,0.5062965730349935,0.4986843829368465,0.3268993801392523,0.2986755325921073
6,130.0,910.0,0.78125,0.49996997459199133,0.5117903586489475,0.292665953412783,0.3189104525158411
6,140.0,980.0000000000001,0.4,0.5115397963787769,0.4989642708106494,0.23187395786549744,0.28328842341277977
6,150.0,1050.0,1.25,0.5107316445580679,0.5684304558693807,0.2583910882587611,0.34582484012608883
8,20.0,180.0,2.5,0.8798191543738445,0.25800227760472144,0.7901374428622989,0.18671090146134137
8,30.0,270.0,1.25,0.8835171277408366,0.3797539057542254,0.8151238726581159,0.32725808818766716
8,40.0,360.0,0.78125,0.8900336128230253,0.5280576205606516,0.8109698788385457,0.47024946005474416
8,50.0,450.0,0.4,0.9016624442528907,0.6786838400312597,0.8192674481771374,0.5969680556152617
8,60.0,540.0,0.2314814814814814,0.900085844099714,0.6894132407328558,0.8250090854626487,0.6136376440417836
8,70.0,630.0000000000001,0.1457725947521866,0.8588061735347846,0.6711754458755897,0.7707954461420836,0.557973901585158
8,80.0,720.0,0.1457725947521866,0.8965764725240275,0.3121653124748412,0.833927135465891,0.20899540002063038
8,90.0,809.9999999999999,0.0685871056241426,0.8453527629627968,0.5040616623963663,0.7283175992976737,0.3214130015244307
8,100.0,900.0,0.0685871056241426,0.8469776763029472,0.5623247759009748,0.746479298406286,0.4434151881773383
8,110.0,990.0,0.05,0.8483732550019354,0.4417068791245695,0.7324354904305954,0.281818194217007
8,120.0,1080.0,0.78125,0.5779819584182003,0.587685004852637,0.29290934616808945,0.32798006742637054
8,130.0,1170.0,0.78125,0.5745773570036983,0.6200632204065738,0.24533188588777816,0.3246686983514634
8,140.0,1260.0000000000002,0.4,0.5796246822372502,0.5298103266806234,0.19545840975288103,0.2065327226306357
8,150.0,1349.9999999999998,1.25,0.5819553034000522,0.681635194682969,0.23952901423728562,0.39080750765688016
10,20.0,220.0,2.5,0.9030005582629999,0.29465275073346436,0.8227405918319004,0.17676395323480287
10,30.0,329.99999999999994,1.25,0.9213818223824696,0.43028183987671986,0.8550981325814254,0.36866114502726816
10,40.0,440.0,0.78125,0.849076131451634,0.6182199241367576,0.7479017043404056,0.49493997010200813
10,50.0,550.0,0.4,0.8558811392696997,0.7502373278808598,0.7419528966723636,0.6714084875833258
