num_threads,spacing(mm),length(mm),force_mag(N),nonlinearity,memory
2,38.46153846153847,115.38461538461539,1.5,4.895198271046309,43.537111418605875
2,64.1025641025641,192.3076923076923,1.0,4.862213969927591,50.29396809603963
2,89.74358974358974,269.2307692307692,0.5,4.42190097298066,54.140397649293696
2,115.38461538461539,346.15384615384613,0.2,3.9796413906411288,51.81725293336304
2,141.02564102564102,423.0769230769231,0.06,6.714488937315378,36.90220926998749
2,166.66666666666666,500.0,0.02,6.343856334489049,62.814416167600925
4,38.46153846153847,192.30769230769232,1.5,6.5589608161520365,38.916547591240494
4,64.1025641025641,320.5128205128205,1.0,5.100252249372393,50.94568204013373
4,89.74358974358974,448.71794871794873,0.5,4.424979785388578,56.870997189649415
4,115.38461538461539,576.923076923077,0.2,5.326528945064418,53.61757902198261
4,141.02564102564102,705.1282051282051,0.06,6.750946051834006,43.796314591215435
4,166.66666666666666,833.3333333333333,0.02,5.825444779124726,51.5643292469893
6,38.46153846153847,269.2307692307693,1.5,8.189913200259523,87.45008978108126
6,64.1025641025641,448.7179487179487,1.0,5.865302048328427,54.02192973571739
6,89.74358974358974,628.2051282051282,0.5,4.837155363134918,59.14026493232001
6,115.38461538461539,807.6923076923077,0.2,6.191929220329856,51.03111556199664
6,141.02564102564102,987.1794871794872,0.06,7.996382373976546,70.89978290271372
6,166.66666666666666,1166.6666666666665,0.02,6.464069357484332,72.77526869697213
