num_threads,spacing(mm),length(mm),force_mag(N),nonlinearity,memory
4,20.0,100.0,6.25,0.5689801171623265,0.1199966449310222
4,20.0,100.0,5.0,0.5638587389895472,0.1006752263661946
4,20.0,100.0,3.75,0.8207617932633966,0.1297769043659067
4,30.0,150.0,3.75,0.6212403257947523,0.15729381221703087
4,20.0,100.0,2.5,0.7911443848746431,0.16032553250840478
4,30.0,150.0,2.5,0.5460184769217352,0.13238749380043693
4,20.0,100.0,1.8518518518518519,0.7310271758740198,0.15813424993797157
4,20.0,100.0,1.25,0.6831871818534374,0.15181275039630923
4,30.0,150.0,1.25,0.8223057102006146,0.20165988109029628
4,20.0,100.0,0.78125,0.6921078451850109,0.14225707989049094
4,20.0,100.0,0.4,0.6483853514255855,0.10875484080037648
4,20.0,100.0,0.23148148148148148,0.5323748940644891,0.1044265797881996
4,20.0,100.0,0.1457725947521866,0.5407429302832145,0.09827418153160594
4,20.0,100.0,0.09765625,0.5609310162618655,0.09442185572721758
4,20.0,100.0,0.06858710562414266,0.5142998460098558,0.09823877939186715
4,20.0,100.0,0.05,0.4819452761623551,0.0974754561109094
4,20.0,100.0,0.037565740045078885,0.5202082260740776,0.09564065384230232
4,20.0,100.0,0.028935185185185185,0.5757827431524795,0.09630532438000945
4,20.0,100.0,0.02275830678197542,0.5648458298697122,0.0911785135300367
4,20.0,100.0,0.018221574344023325,0.5601706218446608,0.09176653251757692
4,20.0,100.0,0.014814814814814815,0.5405898780321915,0.09491217019805737
4,30.0,150.0,1.8518518518518519,0.7979139697865502,0.1908054412246318
4,30.0,150.0,0.78125,0.751253902352411,0.1988459526962426
4,30.0,150.0,0.4,0.6619383134877589,0.19721655002891733
4,30.0,150.0,0.23148148148148148,0.632651185238513,0.19536917829888414
4,30.0,150.0,0.1457725947521866,0.5918118090382956,0.19433340320143064
4,30.0,150.0,0.09765625,0.6005491997984294,0.1943290030486068
4,30.0,150.0,0.06858710562414266,0.6363697584479335,0.19271312186508135
4,30.0,150.0,0.05,0.5943627948641097,0.19120371530630328
4,30.0,150.0,0.037565740045078885,0.6525760374971044,0.18993276487068364
4,30.0,150.0,0.028935185185185185,0.6748595485301728,0.19069411945457213
4,30.0,150.0,0.02275830678197542,0.6118789438810397,0.18723469215324584
4,30.0,150.0,0.018221574344023325,0.5303696252112738,0.18748206110070242
4,30.0,150.0,0.014814814814814815,0.48978543975182187,0.18469803483593922
4,40.0,200.0,0.78125,0.892646997392854,0.19010846037043377
4,40.0,200.0,0.4,0.740156806364141,0.18998780352091013
4,40.0,200.0,0.23148148148148148,0.6922778343176516,0.1870604062382207
4,40.0,200.0,0.1457725947521866,0.6863244823340834,0.18427289565149085
4,40.0,200.0,0.09765625,0.6945457231172749,0.17954927720703248
4,40.0,200.0,0.06858710562414266,0.6577799184120907,0.176012966467917
4,40.0,200.0,0.05,0.5821820084090783,0.16863270057224863
4,40.0,200.0,0.037565740045078885,0.5544385250380746,0.15791835983683442
4,40.0,200.0,0.028935185185185185,0.5813978159453252,0.1523151912788333
4,40.0,200.0,0.02275830678197542,0.5540713276218339,0.14402296350560947
4,40.0,200.0,0.018221574344023325,0.46686943569811507,0.13999247659075828
4,40.0,200.0,0.014814814814814815,0.3995501114301917,0.13327304706988635
4,50.0,250.0,0.4,0.8471023061258476,0.24342074818161724
4,50.0,250.0,0.23148148148148148,0.7414008727285696,0.24192082731346926
4,50.0,250.0,0.1457725947521866,0.7175587639247878,0.2363518201438444
4,50.0,250.0,0.09765625,0.758976524321177,0.23302217331604697
4,50.0,250.0,0.06858710562414266,0.7094981120802395,0.229207141809372
4,50.0,250.0,0.05,0.7053773002754226,0.22732331668514177
4,50.0,250.0,0.037565740045078885,0.7287223662943454,0.2198091853333576
4,50.0,250.0,0.028935185185185185,0.6737051926697363,0.2141735848987674
4,50.0,250.0,0.02275830678197542,0.6719303007036478,0.2056777649248225
4,50.0,250.0,0.018221574344023325,0.6636107413796153,0.19997929853948357
4,50.0,250.0,0.014814814814814815,0.5654902090487303,0.19298139716450086
4,60.0,300.0,0.23148148148148148,0.8151926580683357,0.28533882517706577
4,60.0,300.0,0.1457725947521866,0.7330759421205157,0.28528827563971354
4,60.0,300.0,0.09765625,0.7493576505074534,0.284107568837024
4,60.0,300.0,0.06858710562414266,0.7550013280238826,0.27864646016891104
4,60.0,300.0,0.05,0.7036243216145548,0.2734304253994303
4,60.0,300.0,0.037565740045078885,0.747178613804888,0.26351920216849356
4,60.0,300.0,0.028935185185185185,0.7507448757376679,0.2576574553485333
4,60.0,300.0,0.02275830678197542,0.6654177251370468,0.24664670349186038
4,60.0,300.0,0.018221574344023325,0.6395370915431544,0.24088878348395582
4,60.0,300.0,0.014814814814814815,0.5890908901836371,0.23444535102833428
4,70.0,350.00000000000006,0.1457725947521866,0.8153776004275072,0.3357294205500385
4,70.0,350.00000000000006,0.09765625,0.7778649512803124,0.33453277755627187
4,70.0,350.00000000000006,0.06858710562414266,0.7574973358200878,0.3314604558303725
4,70.0,350.00000000000006,0.05,0.7238391714283623,0.3270260290035222
4,70.0,350.00000000000006,0.037565740045078885,0.7575493294430011,0.306586477869074
4,70.0,350.00000000000006,0.028935185185185185,0.793436813167115,0.2929507205873735
4,70.0,350.00000000000006,0.02275830678197542,0.7886929090436555,0.2786252584229112
4,70.0,350.00000000000006,0.018221574344023325,0.7726370802490932,0.26364069164503756
4,70.0,350.00000000000006,0.014814814814814815,0.6635262469102505,0.2551716178649933
4,80.0,400.0,0.09765625,0.8159736238233858,0.37433532966463573
4,80.0,400.0,0.06858710562414266,0.7889322103907697,0.37415017147168844
4,80.0,400.0,0.05,0.7733967304530082,0.3669813043303198
4,80.0,400.0,0.037565740045078885,0.7414998707977472,0.3584737455003839
4,80.0,400.0,0.028935185185185185,0.792768490831981,0.3490890532749298
4,80.0,400.0,0.02275830678197542,0.8033555238262297,0.3178604661964304
4,80.0,400.0,0.018221574344023325,0.7647260316369863,0.2909721530850187
4,80.0,400.0,0.014814814814814815,0.729173427374358,0.27362790150306865
4,90.0,449.99999999999994,0.06858710562414266,0.8023059215789796,0.3875188919498895
4,90.0,449.99999999999994,0.05,0.812392308263379,0.38217114539056257
