num_threads,nonlinearity,memory,nonlinearity_red_op,memory_red_op
2,0.5348614981505657,0.16534096682475122,0.5348614981505657,0.16534096682475122
4,0.8047573520928903,0.37521714059113176,0.6751048120094706,0.26237577498225434
6,0.8485982036687194,0.4098843865829642,0.6628582413338948,0.37090848496935624
8,0.907640728758745,0.5700699535889403,0.6518753034924213,0.3483513077271049
10,0.8533328732113118,0.5145497478055129,0.6105573846936317,0.3892945008382288
12,0.8972158044268644,0.24272608974238172,0.6661930605870666,0.1701090847109619
