num_threads,alpha,nonlinearity train,nonlinearity test,memory train,memory test
2,0.0001,0.5676424295079341,0.5522637736870151,0.27681773525709163,0.21474439236277304
2,0.001,0.564647788705357,0.5502181104240038,0.25478674452963274,0.19405433132082459
2,0.01,0.5536168487754253,0.539841383070076,0.19721101466172394,0.14220268932239308
2,0.1,0.5368586149691275,0.5224738077530134,0.16517400856470488,0.11483514936670186
2,1,0.5215015790613702,0.5098596115565714,0.1566595527116746,0.11165449087580516
2,10.0,0.49682885898471063,0.4813622975601425,0.14618835626147864,0.11041073213446505
2,100.0,0.45274434489924786,0.4402161510268435,0.12915777089155883,0.10610612881716985
4,0.0001,0.8197774230640252,0.8053445510975911,0.5613151795474532,0.46783564251784915
4,0.001,0.8117544767076623,0.7986633504959922,0.5098146487058064,0.4170150223085846
4,0.01,0.8023942151559448,0.7846614085149592,0.40388268504858776,0.3069948850926678
4,0.1,0.7812017415670022,0.7617186518707573,0.25598238528141426,0.16677604217012723
4,1,0.7537439518410605,0.7392779022039344,0.18194405631348454,0.1206405597367171
4,10.0,0.7327002208733534,0.721633183909169,0.15347813936386218,0.11004434180666178
4,100.0,0.6895881333095979,0.6805381211272749,0.13932116658347377,0.10701350332678503
6,0.0001,0.8851091841538288,0.8707460843150084,0.5840844330728086,0.4645611612219786
6,0.001,0.8748445780301829,0.8596304231896598,0.5381869497644807,0.43056088455056735
6,0.01,0.8637785344290689,0.8448725123194494,0.4826919897422205,0.37907320123013166
6,0.1,0.8382598468782676,0.8161787335669676,0.38227262119047234,0.2713821762505437
6,1,0.8056617930257136,0.781798860961377,0.24374937245065198,0.15251852693686513
6,10.0,0.770395090251273,0.7499864888060624,0.16785831348028427,0.10828788548117674
6,100.0,0.7083636429876519,0.6908625417194616,0.1384520723227133,0.10276055140924197
8,0.0001,0.9465616786133296,0.93174056663807,0.7308111947821755,0.6194275604403074
8,0.001,0.934435975744519,0.9156729853772546,0.7069733170632833,0.5997910974228227
8,0.01,0.9212886900636045,0.9026355838908261,0.6756929101836168,0.573627307212546
8,0.1,0.9053417802194785,0.8886038133042128,0.6246622007930531,0.5282211936716623
8,1,0.8861415756321834,0.8685561910042935,0.5693214834698194,0.48010093471650467
8,10.0,0.8570291430199035,0.8357443350446772,0.48911371904263207,0.4005870319095904
8,100.0,0.8114856137456881,0.7923688483982516,0.3613260645136702,0.2798584393581375
10,0.0001,0.9072449445169612,0.88195862193632,0.7099422121736474,0.5450159399512307
10,0.001,0.9006679459183633,0.8773739703332011,0.6861789866050481,0.5311315922695056
10,0.01,0.8898375857654512,0.8676478061297731,0.6550809453251684,0.5098844320171816
10,0.1,0.8755785979274009,0.8531290221629522,0.6232100762641942,0.4901752945375679
10,1,0.8576332033959797,0.8342405906082162,0.586928143037711,0.4718617390689943
10,10.0,0.8291243249470185,0.8089695812075496,0.5353762252131695,0.44031598525777504
10,100.0,0.7577374149491909,0.7398213028401505,0.4854624264556979,0.4108462432278752
12,0.0001,0.9498199614771486,0.9294267146822521,0.5101099690919552,0.2884265703456938
12,0.001,0.9411975670397739,0.9162875229834896,0.4547479522309717,0.2603133590911701
12,0.01,0.930270048954332,0.9040740683396897,0.403647974095462,0.22822733462801514
12,0.1,0.914637903812585,0.8903072513359591,0.345231455602868,0.19505788608739952
12,1,0.8928040756930141,0.8698101709908428,0.2826280388864078,0.16321394351869564
12,10.0,0.8514127383751949,0.8304304104987376,0.21675748641170672,0.13463080585764392
12,100.0,0.7626941158287822,0.7443345612983803,0.16341835286890516,0.11520508654967818
