num_threads,spacing(mm),length(mm),force_mag(N),nonlinearity,memory,nonlinearity_cap,memory_cap
2,166.66666666666666,500.0,0.0108,0.5348614981505657,0.1653409668247512,0.5348614981505657,0.16534096682475122
4,100.0,500.0,0.05,0.8047573520928903,0.3752171405911317,0.8047573520928903,0.37521714059113176
6,71.42857142857143,500.0,0.1372,0.8485982036687194,0.4098843865829642,0.8485982036687194,0.4098843865829642
8,55.55555555555556,500.0,0.2915999999999999,0.907640728758745,0.5700699535889403,0.907640728758745,0.5700699535889403
10,45.45454545454545,500.0,0.5324000000000001,0.8533328732113118,0.5145497478055129,0.8533328732113118,0.5145497478055129
12,38.46153846153846,500.0,0.8788000000000001,0.8972158044268644,0.2427260897423817,0.8972158044268644,0.24272608974238172
