num_threads,nonlinearity,memory,nonlinearity_red_op,memory_red_op,nonlinearity_op_contri,memory_op_contri,nonlinearity_op_contri_percent,memory_op_contri_percent
2,0.5348614981505657,0.1653409668247512,0.5348614981505657,0.1653409668247512,0.0,0.0,0.0,0.0
4,0.8047573520928903,0.3752171405911317,0.6751048120094706,0.2623757749822543,0.12965254008341975,0.11284136560887742,19.204801651095465,43.00753970769954
6,0.8485982036687194,0.4098843865829642,0.6628582413338948,0.3709084849693562,0.1857399623348246,0.03897590161360803,28.021068571321223,10.508225935254124
8,0.907640728758745,0.5700699535889403,0.6518753034924213,0.3483513077271049,0.25576542526632373,0.22171864586183543,39.23532980863989,63.64800158451758
10,0.8533328732113118,0.5145497478055129,0.6105573846936317,0.3892945008382288,0.24277548851768005,0.12525524696728407,39.76292722091979,32.174933552255304
12,0.8972158044268644,0.2427260897423817,0.6661930605870666,0.1701090847109619,0.23102274383979782,0.0726170050314198,34.678047176927144,42.688493183539144
